City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
672,Labuhan,ID,75.69,clear sky,-6.88,112.21,bador sepret
674,Urucui,BR,87.26,broken clouds,-7.23,-44.56,Formula Flat Uruçui
684,Fuling,CN,75.78,clear sky,29.7,107.39,Yingbin Hostel
686,Xuanzhou,CN,77.09,clear sky,30.95,118.76,Nanfang Hotel
691,Lixourion,GR,77.18,clear sky,38.2,20.43,Summery Hotel
694,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
695,Myanaung,MM,75.51,overcast clouds,18.28,95.32,Taung Hlay Khar
700,Ixtapa,MX,90.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
705,Lahij,YE,86.04,light rain,13.17,44.58,
713,Stonewall,CA,77.0,few clouds,50.13,-97.33,Rockwood Motor Inn & Motel
714,Ambon,ID,75.2,light rain,-3.7,128.18,Swiss-Belhotel Ambon
715,Reggio Di Calabria,IT,80.6,clear sky,38.11,15.66,Hotel Continental
717,Doctor Arroyo,MX,81.7,scattered clouds,23.67,-100.18,Hotel Plaza
721,Lazaro Cardenas,MX,84.81,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
722,Pemangkat,ID,77.92,moderate rain,1.17,108.97,Kost H.Syamsuddin
724,Humberto De Campos,BR,76.48,clear sky,-2.6,-43.46,Pousada do Cabeça
726,Guangyuan,CN,75.0,light rain,32.44,105.82,Guangyuan Poetry Hotel
