City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Novooleksiyivka,UA,2020-08-21 00:48:24,46.23,34.64,74.17,63,100,8.28
213,Merrill,US,2020-08-21 00:48:24,45.18,-89.68,78.8,73,40,4.7
214,Burley,US,2020-08-21 00:48:24,42.54,-113.79,80.6,34,75,4.7
215,Gamboma,CG,2020-08-21 00:48:24,-1.88,15.86,76.41,73,100,3.58
216,Lebu,CL,2020-08-21 00:48:03,-37.62,-73.65,49.82,85,0,17.67
217,Mecca,SA,2020-08-21 00:48:24,21.43,39.83,90.79,28,43,2.48
218,Honningsvag,NO,2020-08-21 00:48:24,70.98,25.97,50.13,81,96,1.83
219,Kupang,ID,2020-08-21 00:48:24,-10.17,123.58,78.8,69,20,10.29
220,Vigrestad,NO,2020-08-21 00:48:24,58.57,5.7,64.4,93,75,4.7
221,Alihe,CN,2020-08-21 00:48:24,50.57,123.72,68.76,48,83,3.24
222,Kushima,JP,2020-08-21 00:48:25,31.46,131.23,87.8,70,75,4.7
223,Rome,US,2020-08-21 00:48:25,34.26,-85.16,73.99,94,90,4.7
224,Bambanglipuro,ID,2020-08-21 00:46:21,-7.95,110.28,80.6,64,0,6.17
225,Talnakh,RU,2020-08-21 00:48:25,69.49,88.4,55.4,66,0,8.95
226,Rindal,NO,2020-08-21 00:48:25,63.06,9.21,64.4,82,13,8.05
227,Fortuna,US,2020-08-21 00:48:25,40.6,-124.16,77.0,68,13,3.0
228,Bonthe,SL,2020-08-21 00:48:25,7.53,-12.51,76.03,87,100,9.93
229,Voyinka,UA,2020-08-21 00:48:25,45.87,33.99,70.47,68,100,6.42
230,Machali,CL,2020-08-21 00:48:26,-34.18,-70.67,52.83,42,0,3.42
231,Lashio,MM,2020-08-21 00:48:26,22.93,97.75,69.73,100,100,1.19
232,Pevek,RU,2020-08-21 00:48:26,69.7,170.31,37.58,86,100,10.76
233,At-Bashi,KG,2020-08-21 00:48:26,41.17,75.81,52.39,53,21,0.89
234,Turbat,PK,2020-08-21 00:48:26,26.0,63.04,83.91,73,54,2.89
235,Da Lat,VN,2020-08-21 00:48:26,11.95,108.44,68.31,78,19,2.84
236,Saint-Francois,FR,2020-08-21 00:48:27,46.42,3.91,80.6,36,0,13.87
237,Tondano,ID,2020-08-21 00:48:27,1.3,124.91,84.2,62,20,2.24
238,Koster,ZA,2020-08-21 00:48:27,-25.86,26.9,39.54,71,0,0.87
239,Maniitsoq,GL,2020-08-21 00:48:27,65.42,-52.9,49.86,76,0,9.46
240,Ponta Do Sol,PT,2020-08-21 00:48:27,32.67,-17.1,75.2,83,40,1.12
